ios|cpu|modulo|riga|colonna
---+---+------+----+-------
  0|  0|    19|  16|      1
  0|  0|    19|  11|      1
  0|  0|    19|   6|      1
  0|  0|    19|   1|      1
  0|  0|    19|  17|      1
  0|  0|    19|  12|      1
  0|  0|    19|   7|      1
  0|  0|    19|   2|      1
  0|  0|    19|  18|      1
  0|  0|    19|  13|      1
  0|  0|    19|   8|      1
  0|  0|    19|   3|      1
  0|  0|    19|  19|      1
  0|  0|    19|  14|      1
  0|  0|    19|   9|      1
  0|  0|    19|   4|      1
  0|  0|    19|  16|      2
  0|  0|    19|  11|      2
  0|  0|    19|   6|      2
  0|  0|    19|   1|      2
  0|  0|    19|  17|      2
  0|  0|    19|  12|      2
  0|  0|    19|   7|      2
  0|  0|    19|   2|      2
  0|  0|    19|  18|      2
  0|  0|    19|  13|      2
  0|  0|    19|   8|      2
  0|  0|    19|   3|      2
  0|  0|    19|  19|      2
  0|  0|    19|  14|      2
  0|  0|    19|   9|      2
  0|  0|    19|   4|      2
  0|  0|    19|  16|      3
  0|  0|    19|  11|      3
  0|  0|    19|   6|      3
  0|  0|    19|   1|      3
  0|  0|    19|  17|      3
  0|  0|    19|  12|      3
  0|  0|    19|   7|      3
  0|  0|    19|   2|      3
  0|  0|    19|  18|      3
  0|  0|    19|  13|      3
  0|  0|    19|   8|      3
  0|  0|    19|   3|      3
  0|  0|    19|  19|      3
  0|  0|    19|  14|      3
  0|  0|    19|   9|      3
  0|  0|    19|   4|      3
  0|  0|    19|  16|      4
  0|  0|    19|  11|      4
  0|  0|    19|   6|      4
  0|  0|    19|   1|      4
  0|  0|    19|  17|      4
  0|  0|    19|  12|      4
  0|  0|    19|   7|      4
  0|  0|    19|   2|      4
  0|  0|    19|  18|      4
  0|  0|    19|  13|      4
  0|  0|    19|   8|      4
  0|  0|    19|   3|      4
  0|  0|    19|  19|      4
  0|  0|    19|  14|      4
  0|  0|    19|   9|      4
  0|  0|    19|   4|      4
  0|  0|    19|  16|      5
  0|  0|    19|  11|      5
  0|  0|    19|   6|      5
  0|  0|    19|   1|      5
  0|  0|    19|  17|      5
  0|  0|    19|  12|      5
  0|  0|    19|   7|      5
  0|  0|    19|   2|      5
  0|  0|    19|  18|      5
  0|  0|    19|  13|      5
  0|  0|    19|   8|      5
  0|  0|    19|   3|      5
  0|  0|    19|  19|      5
  0|  0|    19|  14|      5
  0|  0|    19|   9|      5
  0|  0|    19|   4|      5
  0|  0|    19|  31|     28
  0|  0|    19|  31|     20
  0|  0|    19|  31|     27
  0|  0|    19|  31|     19
  0|  0|    19|  32|     28
  0|  0|    19|  32|     20
  0|  0|    19|  32|     27
  0|  0|    19|  32|     19
  0|  0|    19|  26|     25
  0|  0|    19|  26|     17
  0|  0|    19|  21|     25
  0|  0|    19|  21|     17
  0|  0|    19|  27|     25
  0|  0|    19|  27|     17
  0|  0|    19|  22|     25
  0|  0|    19|  22|     17
  0|  0|    19|  28|     25
  0|  0|    19|  28|     17
  0|  0|    19|  23|     25
  0|  0|    19|  23|     17
  0|  0|    19|  29|     25
  0|  0|    19|  29|     17
  0|  0|    19|  24|     25
  0|  0|    19|  24|     17
  0|  0|    19|  30|     25
  0|  0|    19|  30|     17
  0|  0|    19|  25|     25
  0|  0|    19|  25|     17
  0|  0|    19|  26|     26
  0|  0|    19|  26|     18
  0|  0|    19|  21|     26
  0|  0|    19|  21|     18
  0|  0|    19|  27|     26
  0|  0|    19|  27|     18
  0|  0|    19|  22|     26
  0|  0|    19|  22|     18
  0|  0|    19|  28|     26
  0|  0|    19|  28|     18
  0|  0|    19|  23|     26
  0|  0|    19|  23|     18
  0|  0|    19|  29|     26
  0|  0|    19|  29|     18
  0|  0|    19|  24|     26
  0|  0|    19|  24|     18
  0|  0|    19|  26|     27
  0|  0|    19|  26|     19
  0|  0|    19|  21|     27
  0|  0|    19|  21|     19
  0|  0|    19|  27|     27
  0|  0|    19|  27|     19
  0|  0|    19|  22|     27
  0|  0|    19|  22|     19
  0|  0|    19|  28|     27
  0|  0|    19|  28|     19
  0|  0|    19|  23|     27
  0|  0|    19|  23|     19
  0|  0|    19|  29|     27
  0|  0|    19|  29|     19
  0|  0|    19|  24|     27
  0|  0|    19|  24|     19
  0|  0|    19|  26|     28
  0|  0|    19|  26|     20
  0|  0|    19|  21|     28
  0|  0|    19|  21|     20
  0|  0|    19|  27|     28
  0|  0|    19|  27|     20
  0|  0|    19|  22|     28
  0|  0|    19|  22|     20
  0|  0|    19|  28|     28
  0|  0|    19|  28|     20
  0|  0|    19|  23|     28
  0|  0|    19|  23|     20
  0|  0|    19|  29|     28
  0|  0|    19|  29|     20
  0|  0|    19|  24|     28
  0|  0|    19|  24|     20
  0|  0|    19|  26|     29
  0|  0|    19|  26|     21
  0|  0|    19|  21|     29
  0|  0|    19|  21|     21
  0|  0|    19|  27|     29
  0|  0|    19|  27|     21
  0|  0|    19|  22|     29
  0|  0|    19|  22|     21
