 ubicazione | isola | settore | modulo_can | riga_can | colonna_can 
------------+-------+---------+------------+----------+-------------
 1012011    |     1 |       1 |          1 |       19 |           1
 1012031    |     1 |       1 |          1 |       19 |           2
 1012051    |     1 |       1 |          1 |       17 |           1
 1012071    |     1 |       1 |          1 |       18 |           1
 1011094    |     1 |       1 |          1 |        1 |           5
 1011093    |     1 |       1 |          1 |        5 |           5
 1011092    |     1 |       1 |          1 |        9 |           5
 1011091    |     1 |       1 |          1 |       13 |           5
 1012091    |     1 |       1 |          1 |       17 |           2
 1011104    |     1 |       1 |          1 |        2 |           5
 1011103    |     1 |       1 |          1 |        6 |           5
 1011102    |     1 |       1 |          1 |       10 |           5
 1011101    |     1 |       1 |          1 |       14 |           5
 1011114    |     1 |       1 |          1 |        3 |           5
 1011113    |     1 |       1 |          1 |        7 |           5
 1011112    |     1 |       1 |          1 |       11 |           5
 1011111    |     1 |       1 |          1 |       15 |           5
 1012111    |     1 |       1 |          1 |       18 |           2
 1011124    |     1 |       1 |          1 |        4 |           5
 1011123    |     1 |       1 |          1 |        8 |           5
 1011122    |     1 |       1 |          1 |       12 |           5
 1011121    |     1 |       1 |          1 |       16 |           5
 1011134    |     1 |       1 |          1 |        1 |           6
 1011133    |     1 |       1 |          1 |        5 |           6
 1011132    |     1 |       1 |          1 |        9 |           6
 1011131    |     1 |       1 |          1 |       13 |           6
 1012131    |     1 |       1 |          1 |       17 |           3
 1011144    |     1 |       1 |          1 |        2 |           6
 1011143    |     1 |       1 |          1 |        6 |           6
 1011142    |     1 |       1 |          1 |       10 |           6
 1011141    |     1 |       1 |          1 |       14 |           6
 1011154    |     1 |       1 |          1 |        3 |           6
 1011153    |     1 |       1 |          1 |        7 |           6
 1011152    |     1 |       1 |          1 |       11 |           6
 1011151    |     1 |       1 |          1 |       15 |           6
 1012151    |     1 |       1 |          1 |       18 |           3
 1011164    |     1 |       1 |          1 |        4 |           6
 1011163    |     1 |       1 |          1 |        8 |           6
 1011162    |     1 |       1 |          1 |       12 |           6
 1011161    |     1 |       1 |          1 |       16 |           6
 1011174    |     1 |       1 |          1 |        1 |           7
 1011173    |     1 |       1 |          1 |        5 |           7
 1011172    |     1 |       1 |          1 |        9 |           7
 1011171    |     1 |       1 |          1 |       13 |           7
 1012171    |     1 |       1 |          1 |       17 |           4
 1011184    |     1 |       1 |          1 |        2 |           7
 1011183    |     1 |       1 |          1 |        6 |           7
 1011182    |     1 |       1 |          1 |       10 |           7
 1011181    |     1 |       1 |          1 |       14 |           7
 1011194    |     1 |       1 |          1 |        3 |           7
 1011193    |     1 |       1 |          1 |        7 |           7
 1011192    |     1 |       1 |          1 |       11 |           7
 1011191    |     1 |       1 |          1 |       15 |           7
 1012191    |     1 |       1 |          1 |       18 |           4
 1011204    |     1 |       1 |          1 |        4 |           7
 1011203    |     1 |       1 |          1 |        8 |           7
 1011202    |     1 |       1 |          1 |       12 |           7
 1011201    |     1 |       1 |          1 |       16 |           7
 1021014    |     1 |       2 |          2 |        1 |           1
 1021013    |     1 |       2 |          2 |        5 |           1
 1021012    |     1 |       2 |          2 |        9 |           1
 1021011    |     1 |       2 |          2 |       13 |           1
 1022011    |     1 |       2 |          2 |       17 |           4
 1021024    |     1 |       2 |          2 |        2 |           1
 1021023    |     1 |       2 |          2 |        6 |           1
 1021022    |     1 |       2 |          2 |       10 |           1
 1021021    |     1 |       2 |          2 |       14 |           1
 1021034    |     1 |       2 |          2 |        3 |           1
 1021033    |     1 |       2 |          2 |        7 |           1
 1021032    |     1 |       2 |          2 |       11 |           1
 1021031    |     1 |       2 |          2 |       15 |           1
