  ordprog   | cpnmcol | cpstato | cpprgcl | cpdteva  
------------+---------+---------+---------+----------
 3017227061 |       2 | A       | 0       | 20200110
 3017227007 |       2 | A       | 0       | 20200110
 3017227024 |       2 | A       | 0       | 20200110
 3017227049 |       1 | A       | 0       | 20200110
 3017227014 |       1 | A       | 0       | 20200110
 3017227014 |       2 | A       | 0       | 20200110
 3017227024 |       3 | A       | 0       | 20200110
 3017227049 |       2 | A       | 0       | 20200110
 3017227049 |       3 | A       | 0       | 20200110
 3017227033 |       1 | A       | 0       | 20200110
 3017229177 |       1 | A       | 0       | 20200110
 3017227033 |       2 | A       | 0       | 20200110
 3017227049 |       4 | A       | 0       | 20200110
 3017227061 |       2 | A       | 0       | 20200110
 3017227061 |       1 | A       | 0       | 20200110
 3017227049 |       1 | A       | 0       | 20200110
 3017227049 |       2 | A       | 0       | 20200110
 3017227049 |       3 | A       | 0       | 20200110
 3017227061 |       3 | A       | 0       | 20200110
 3017224701 |       1 | A       | 0       | 20200110
 3017226919 |       1 | A       | 0       | 20200110
 3017227061 |       1 | A       | 0       | 20200110
 3017226919 |       2 | A       | 0       | 20200110
 3017227000 |       1 | A       | 0       | 20200110
 3017226937 |       3 | A       | 0       | 20200110
 3017226985 |       1 | A       | 0       | 20200110
 3017229179 |       1 | A       | 0       | 20200110
 3017226995 |       2 | A       | 0       | 20200110
 3017226937 |       1 | A       | 0       | 20200110
 3017229178 |       1 | A       | 0       | 20200110
 3017226937 |       2 | A       | 0       | 20200110
 3017227007 |       1 | A       | 0       | 20200110
 3017226995 |       1 | A       | 0       | 20200110
 3017226937 |       4 | A       | 0       | 20200110
 3017227000 |       1 | A       | 0       | 20200110
 3017227014 |       1 | A       | 0       | 20200110
 3017227000 |       2 | A       | 0       | 20200110
 3017227033 |       1 | A       | 0       | 20200110
 3017227024 |       1 | A       | 0       | 20200110
 3017227024 |       1 | A       | 0       | 20200110
 3017227007 |       1 | A       | 0       | 20200110
 3017212744 |       1 | H       | 1000000 | 20200110
 3017203362 |       1 | H       | 1000000 | 20200109
 3017203362 |       2 | H       | 1000001 | 20200109
 3017212744 |       2 | H       | 1000001 | 20200110
 3017212744 |       3 | H       | 1000002 | 20200110
 3017203362 |       3 | H       | 1000002 | 20200109
 3017203362 |       1 | H       | 1000003 | 20200109
 3017212744 |       1 | H       | 1000003 | 20200110
 3017212744 |       2 | H       | 1000004 | 20200110
 3017203362 |       2 | H       | 1000004 | 20200109
 3017212744 |       3 | H       | 1000005 | 20200110
 3017203362 |       3 | H       | 1000005 | 20200109
 3017203362 |       4 | H       | 1000006 | 20200109
 3017212744 |       4 | H       | 1000006 | 20200110
 3017203362 |       5 | H       | 1000007 | 20200109
 3017212744 |       5 | H       | 1000007 | 20200110
 3017212754 |       1 | H       | 1000008 | 20200110
 3017203362 |       6 | H       | 1000008 | 20200109
 3017203492 |       1 | H       | 1000009 | 20200109
 3017212754 |       2 | H       | 1000009 | 20200110
 3017212754 |       1 | H       | 1000010 | 20200110
 3017203492 |       2 | H       | 1000010 | 20200109
 3017203492 |       3 | H       | 1000011 | 20200109
 3017212754 |       2 | H       | 1000011 | 20200110
 3017212754 |       3 | H       | 1000012 | 20200110
 3017203492 |       4 | H       | 1000012 | 20200109
 3017212754 |       4 | H       | 1000013 | 20200110
 3017203492 |       5 | H       | 1000013 | 20200109
 3017212754 |       5 | H       | 1000014 | 20200110
 3017203492 |       6 | H       | 1000014 | 20200109
 3017203492 |       1 | H       | 1000015 | 20200109
 3017222940 |       1 | H       | 1000015 | 20200110
 3017203492 |       2 | H       | 1000016 | 20200109
 3017222940 |       1 | H       | 1000016 | 20200110
 3017203492 |       3 | H       | 1000017 | 20200109
 3017222940 |       2 | H       | 1000017 | 20200110
 3017222940 |       3 | H       | 1000018 | 20200110
 3017203492 |       4 | H       | 1000018 | 20200109
 3017222940 |       4 | H       | 1000019 | 20200110
 3017203492 |       5 | H       | 1000019 | 20200109
 3017203514 |       1 | H       | 1000020 | 20200109
 3017222940 |       5 | H       | 1000020 | 20200110
 3017203514 |       2 | H       | 1000021 | 20200109
 3017222940 |       6 | H       | 1000021 | 20200110
 3017203514 |       3 | H       | 1000022 | 20200109
 3017222933 |       1 | H       | 1000022 | 20200110
 3017203514 |       4 | H       | 1000023 | 20200109
 3017222812 |       1 | H       | 1000023 | 20200110
 3017222815 |       1 | H       | 1000024 | 20200110
 3017203514 |       5 | H       | 1000024 | 20200109
 3017203514 |       6 | H       | 1000025 | 20200109
 3017222819 |       1 | H       | 1000025 | 20200110
 3017222819 |       2 | H       | 1000026 | 20200110
 3017203514 |       1 | H       | 1000026 | 20200109
 3017222822 |       1 | H       | 1000027 | 20200110
 3017203514 |       2 | H       | 1000027 | 20200109
 3017203514 |       3 | H       | 1000028 | 20200109
 3017222822 |       1 | H       | 1000028 | 20200110
 3017222825 |       1 | H       | 1000029 | 20200110
 3017203514 |       4 | H       | 1000029 | 20200109
 3017203514 |       5 | H       | 1000030 | 20200109
 3017222825 |       1 | H       | 1000030 | 20200110
 3017203319 |       1 | H       | 1000031 | 20200109
 3017222829 |       1 | H       | 1000031 | 20200110
 3017222833 |       1 | H       | 1000032 | 20200110
 3017203319 |       1 | H       | 1000032 | 20200109
 3017203320 |       1 | H       | 1000033 | 20200109
 3017222837 |       1 | H       | 1000033 | 20200110
 3017203320 |       2 | H       | 1000034 | 20200109
 3017222846 |       1 | H       | 1000034 | 20200110
 3017203320 |       1 | H       | 1000035 | 20200109
 3017222846 |       2 | H       | 1000035 | 20200110
 3017222846 |       1 | H       | 1000036 | 20200110
 3017203321 |       1 | H       | 1000036 | 20200109
 3017203321 |       2 | H       | 1000037 | 20200109
 3017222846 |       2 | H       | 1000037 | 20200110
 3017203321 |       1 | H       | 1000038 | 20200109
 3017222855 |       1 | H       | 1000038 | 20200110
 3017222855 |       2 | H       | 1000039 | 20200110
 3017203322 |       1 | H       | 1000039 | 20200109
 3017203322 |       2 | H       | 1000040 | 20200109
 3017222865 |       1 | H       | 1000040 | 20200110
 3017203322 |       3 | H       | 1000041 | 20200109
 3017222865 |       2 | H       | 1000041 | 20200110
 3017222865 |       3 | H       | 1000042 | 20200110
 3017203322 |       1 | H       | 1000042 | 20200109
 3017222865 |       4 | H       | 1000043 | 20200110
 3017203322 |       2 | H       | 1000043 | 20200109
 3017203322 |       3 | H       | 1000044 | 20200109
 3017222865 |       1 | H       | 1000044 | 20200110
 3017222865 |       2 | H       | 1000045 | 20200110
 3017203323 |       1 | H       | 1000045 | 20200109
 3017222869 |       1 | H       | 1000046 | 20200110
 3017203324 |       1 | H       | 1000046 | 20200109
 3017203324 |       2 | H       | 1000047 | 20200109
 3017222872 |       1 | H       | 1000047 | 20200110
 3017203324 |       1 | H       | 1000048 | 20200109
 3017222876 |       1 | H       | 1000048 | 20200110
