      prcdpro       |                 prdescr                  | prlungh | prlargh | praltez | prpesgr | prflgpp 
--------------------+------------------------------------------+---------+---------+---------+---------+---------
 81308207           | WPC SUN Protection spray norm-fini 150ml |     130 |      87 |     200 |    1131 |       1
 81250898           | ENRICH MASK COARSE 500 ML                |     110 |     110 |      90 |     570 |       1
 81537174           | NIOX SYS3 SCALP REVIT 300ML MULTILANG    |      60 |      60 |     220 |     340 |       1
 81537230           | NIOX SYS4 SCALP REVIT 1000ML MULTILANG   |      90 |      90 |     270 |    1093 |       1
 81530703           | SYSTEM PURIFY LOTION 125ML               |      51 |      51 |     170 |     175 |       1
 81537166           | NIOX SYS6 CLEANSER 300ML MULTILANG       |      60 |      60 |     220 |     340 |       1
 81537175           | NIOX SYS4 CLEANSER 300ML MULTILANG       |      60 |      60 |     220 |     353 |       1
 81537193           | NIOX KIT SYS6 150 150 40 DFINL           |      60 |     110 |     180 |     428 |       1
 81537200           | NIOX TRIALKIT SYS1 150 150 50            |     110 |      50 |     180 |     461 |       1
 81537227           | NIOX SYS2 SCALP REVIT 1000ML MULTILANG   |      90 |      90 |     270 |    1093 |       1
 81537194           | NIOXTRIALKIT SYS2 150 150 40 DE FR IT NL |      60 |     110 |     180 |     460 |       1
 81537199           | NIOXTRIALKIT SYS5 150 150 50 DE FR IT NL |      60 |     110 |     180 |     460 |       1
 81538091           | SEB VOLUPT COND 1000ML  MULTILANG        |      80 |      80 |     260 |    1062 |       1
 81537201           | NIOXTRIALKIT SYS3 150 150 50 DE FR IT NL |      60 |     110 |     180 |     461 |       1
 81588043           | SEB VOLUPT COND 1000ML  MULTILANG        |      81 |      81 |     260 |    1104 |       1
 81284217           | SP 250 ml Resolute Lift                  |     100 |     150 |     220 |    1702 |       1
 81385664           | NIOX TRIALKIT SYS2 150+150+40DE,FR,IT,NL |      60 |     110 |     180 |     460 |       1
 81385669           | NIOX TRIALKIT SYS4 150+150+40DE,FR,IT,NL |      60 |     110 |     180 |     460 |       1
 81537234           | NIOX SYS4 CLEANSER 1000ML MULTILANG      |      90 |      75 |     275 |    1129 |       1
 81556515           | SEB_DARK_OIL_95ML                        |     170 |      80 |     170 |    1002 |       1
 81539752           | SEB VOLUPT SHAMPOO 250ML DE FR IT NL     |      56 |      48 |     202 |     315 |       1
 81539927           | SEB 150ML PENETRAITT MASQUE DE.FR.NL.IT  |      65 |      40 |     215 |     173 |       1
 81537451           | NIOX SYS3 SCALP TREAT100ML MULTILANG     |      55 |      40 |     155 |     139 |       1
 81539751           | SEB VOLUPT SHAMPOO 1000ML MULTILANG      |      80 |      80 |     255 |    1110 |       1
 81546074           | SP SMOOTHEN SHP 250ML MULTILANG          |     140 |     120 |     175 |    1827 |       1
 81558018           | WPC ENRICH SHP GROS 1000ML               |      85 |      85 |     235 |    1110 |       1
 81557398           | WP OIL REFLECTIONS LIGHT 100ML           |     160 |      60 |     170 |     540 |       1
 81526534           | WP STRGHT-IT NEUTR 1000_DEP D-F-NL-I     |      95 |      95 |     280 |    1080 |       1
 81643304           | WP OIL REFLECTIONS 100ML                 |     162 |      60 |     162 |     549 |       1
 81580134           | WP EIMI SHAPE ME 150ML D-F-I-NL          |     150 |     100 |     170 |    1230 |       1
 81526535           | WP WAVE-IT NEUTR 1000_DEP D-F-NL-I       |      95 |      95 |     275 |    1110 |       1
 81527917           | SEB SHINE DEFINE 200ML DE FR IT NL       |      45 |      45 |      45 |     217 |       1
 81532607           | SYSTEM ELASTIC FORCE 125ML               |      51 |      51 |     170 |     154 |       1
 81530737           | SYSTEM SMOOTHEN CURL DEFINER 200ML       |      48 |      48 |     208 |     255 |       1
 81387554           | SP 75 ml Satin Polish                    |      90 |     130 |     160 |     717 |       1
 81533533           | SP BALANCE LOTION 125ML MULTILANG        |      51 |      51 |     170 |     171 |       1
 81533544           | SYSTEM COLOR SAVE FLUID 125ML            |      51 |      51 |     170 |     176 |       1
 81537231           | NIOX SYS5 CLEANSER 1000ML MULTILANG      |      86 |      73 |     272 |    1111 |       1
 81537450           | NIOX SYS4 SCALP TREAT100ML MULTILANG     |      50 |      40 |     170 |     155 |       1
 81530906           | SYSTEM REPAIR MASK 20X15ML               |     100 |      77 |     132 |     395 |       1
 81514370           | SEB_ERUPTEK_75ML_WE_MULTILANG            |      56 |      45 |     158 |     110 |       1
 81519660           | WP EIMI PERFECT ME 100 ML D-F-I-NL       |     123 |      94 |     155 |     920 |       1
 81469088           | SP MEN INVISIBLE CONTROL 50 ML           |     360 |     180 |     120 |    3000 |       1
 81472327           | BLONDOR FREELIGHTS ATTIVATORE 6          |      95 |      95 |     275 |    1087 |       1
 81471618           | NIOX HAIR BOOSTER 100ML DE FR IT NL NEW  |      40 |      60 |     160 |     136 |       1
 81472359           | BLONDOR FREELIGHTS ATTIVATORE 9          |      95 |      95 |     275 |    1120 |       1
 81598810           | WP EIMI PERFECT ME 100 ML                |     130 |     100 |     170 |     923 |       1
 81537225           | NIOX SYS1 SCALP REVIT 1000ML MULTILANG   |      90 |      90 |     270 |    1093 |       1
 81471548           | WPC ENRICH SPUMA RISTR.ONDULATI 150ML    |     150 |     100 |     185 |    1308 |       1
 81466061           | WP ELEMENTS SERUM 100ML                  |      40 |      40 |     170 |     140 |       1
 81472235           | BLONDOR FREELIGHTS ATTIVATORE 12%        |      95 |      95 |     275 |    1123 |       1
 81475826           | LIQUID HAIR 100ML                        |      60 |     160 |     160 |     854 |       1
 81643787           | WP EIMI SUGAR LIFT 150 ML                |     132 |      92 |     199 |    1200 |       1
 81530718           | SYSTEM REPAIR PERFECT ENDS 40ML          |      31 |      30 |     147 |     135 |       1
 81530709           | SP BI-PHASE COND 185ML GBFDINLRUPLARAB   |      48 |      48 |     198 |     248 |       1
 81530714           | SYSTEM HYDRATE QUENCHINGMIST 125ML       |      51 |      51 |     170 |     175 |       1
 81596346           | BL_FREELIGHTS_DVLPER_9% _30 VOL_1L       |      95 |      95 |     275 |    1120 |       1
 81642970           | COLOR FRESH_ACID_5/07_75ML               |      50 |      50 |     140 |     106 |       1
 81643592           | COLOR FRESH_ACID_7/3_75ML                |      50 |      50 |     140 |     105 |       1
 81557416           | WP OIL REFLECTIONS 30ML                  |     130 |     110 |     135 |     428 |       1
 81598321           | COLOR FRESH_ACID_5/56_75ML               |      50 |      50 |     140 |     107 |       1
 81566240           | SP RESOLUTE LIFT 250ML DFINLGR           |     100 |     150 |     220 |    1689 |       1
 81565430           | SEB 500ML POTION9 STY TREAT DE,FR,NL,IT  |      71 |      71 |     213 |     572 |       1
 81539768           | SEB HYDRE SHAMPOO 1000ML MULTILAN        |      80 |      80 |     260 |    1104 |       1
 81536927           | SYSTEM SHIMMERING SYSTEMRAY 40ML         |      30 |      30 |     145 |     122 |       1
