      prcdpro       |                 prdescr                  | prqtkar 
--------------------+------------------------------------------+---------
 81593254           | SEBASTIAN_cellophanes caramel 300ml      |      12
 81599076           | NIOX THERM ACTIV PROTECTOR 150ML DFINL   |       6
 81643783           | WP EIMI RUGGED TEXTURE 75 ML             |      12
 99240010306        | NioxTrlKit_Sys5_150+150+50_GBDFINLESPT   |      12
 81644361           | SEBASTIAN_volupt spray 150ml             |       6
 81644366           | SEBASTIAN_color ignite mono cond 500ml   |       6
 81643447           | SYSTEM_color save bi-phase cond 185ml    |       6
 99240012325        | WP ENRICH SHAMPOO 500ML                  |       6
 81643479           | SYSTEM_hydrate quenching mist 125ml      |       6
 99240009177        | WP FUSION MASK 500ML                     |       6
 81644367           | SEBASTIAN_color ignite multi cond 500ml  |       6
 81599215           | SYSTEM_repair infusion 20x5ml            |       6
 81644365           | SEBASTIAN_mousse forte 200ml             |       6
 99240010903        | SYSTEM_color save mask 400ml             |       6
 81644374           | SEBASTIAN_whipped creme 150ml            |      12
 81620362           | WP CREA+ STRAIGHT H/S BASE 200ML WE      |       6
 99240010405        | NXN OPT SYS4 RG OTC CN 300ml 18WE MULTI  |      12
 99240010411        | NXN OPT SYS2 RG OTC CN 300ml 18 WE MULTI |      12
 99240010417        | NIOX OPT SYS1 RG ATB MULT 1000ml 18IV    |      12
 81630920           | NXN_Diaboost_Treat 100ml DFINLESPT       |       6
 99240008450        | SEBASTIAN_volupt shampoo 1000ml          |      12
 99240003221        | SYSTEMMAN H&B CONDITIONER 1L ATB         |       6
 99240010960        | WP OIL REFLECTIONS MASK 500ML            |       6
 81588155           | SEBASTIAN_molding mud 75ml               |      12
 81630873           | NXN_Hair_Booster 100ml DFINLESPT         |      12
 99240010025        | SYSTEM_luxeoil keratin restoremask 400ml |       6
 99240010858        | SYSTEM BALANCE MASK 400ML                |       6
 81643445           | SP D EXT RG LIQHAIR 100ml GBFDINLGR      |       3
 99240010316        | NXN OPT SYS3 RG OTC K15015050 18GBDFINLS |      12
 99240010401        | NXN OPT SYS6 RG ATB CN 1000ml 18 MULTI   |      12
 81618896           | SEBASTIAN_twisted curl shampoo 1000ml    |       6
