  materiale  | ubicazione | ubicazione_mappa | ubicazione_mappa 
-------------+------------+------------------+------------------
 81630873    | 217-082    | 2071082          | 2.07.1.08.2
 81630913    | 215-054    | 2051032          | 2.05.1.03.2
 81638853    | 112-082    | 1021082          | 1.02.1.08.2
 81638853    | 112-082    | 1021082          | 1.02.1.08.2
 81638853    | 112-082    | 1021082          | 1.02.1.08.2
 81638897    | 116-091    | 1061091          | 1.06.1.09.1
 81638897    | 116-091    | 1061091          | 1.06.1.09.1
 81639008    | 124-034    | 1042034          | 1.04.2.03.4
 81639008    | 124-034    | 1042034          | 1.04.2.03.4
 81639044    | 118-053    | 1081053          | 1.08.1.05.3
 81639044    | 118-053    | 1081053          | 1.08.1.05.3
 81639078    | 124-141    | 1042141          | 1.04.2.14.1
 81639798    | 123-084    | 1032084          | 1.03.2.08.4
 81639798    | 123-084    | 1032084          | 1.03.2.08.4
 81639810    | 113-084    | 1031084          | 1.03.1.08.4
 81639810    | 113-084    | 1031084          | 1.03.1.08.4
 81639810    | 113-084    | 1031084          | 1.03.1.08.4
 81639831    | 114-034    | 1041034          | 1.04.1.03.4
 81639831    | 114-034    | 1041034          | 1.04.1.03.4
 81639831    | 114-034    | 1041034          | 1.04.1.03.4
 81639988    | 123-162    | 1032162          | 1.03.2.16.2
 81639988    | 123-162    | 1032162          | 1.03.2.16.2
 81642958    | 124-083    | 1042083          | 1.04.2.08.3
 81642958    | 124-083    | 1042083          | 1.04.2.08.3
 81642958    | 124-083    | 1042083          | 1.04.2.08.3
 81643768    | 114-102    | 1041102          | 1.04.1.10.2
 81643768    | 114-102    | 1041102          | 1.04.1.10.2
 81643768    | 114-102    | 1041102          | 1.04.1.10.2
 81650319    | 117-101    | 1071101          | 1.07.1.10.1
 81650329    | 113-104    | 1031104          | 1.03.1.10.4
 81650329    | 113-104    | 1031104          | 1.03.1.10.4
 81650329    | 113-104    | 1031104          | 1.03.1.10.4
 81650593    | 122-124    | 1022124          | 1.02.2.12.4
 81650593    | 122-124    | 1022124          | 1.02.2.12.4
 81655128    | 215-024    | 2051024          | 2.05.1.02.4
 81655128    | 215-024    | 2051024          | 2.05.1.02.4
 99240003153 | 214-154    | 2041154          | 2.04.1.15.4
 99240003153 | 214-154    | 2041154          | 2.04.1.15.4
 99240011036 | 216-093    | 2061093          | 2.06.1.09.3
 99240011084 | 124-111    | 1042111          | 1.04.2.11.1
 99240014139 | 223-043    | 2032043          | 2.03.2.04.3
 99240017058 | 218-093    | 2081093          | 2.08.1.09.3
 99240017058 | 218-093    | 2081093          | 2.08.1.09.3
 99240107555 | 214-114    | 2041114          | 2.04.1.11.4
 99240107555 | 214-114    | 2041114          | 2.04.1.11.4
 99240107555 | 214-114    | 2041114          | 2.04.1.11.4
 99240107555 | 214-114    | 2041114          | 2.04.1.11.4
 99240123565 | 218-051    | 2081051          | 2.08.1.05.1
 99350029224 | 114-171    | 1041171          | 1.04.1.17.1
 99350029224 | 114-171    | 1041171          | 1.04.1.17.1
 99350032828 | 218-092    | 2081092          | 2.08.1.09.2
 99350032828 | 218-092    | 2081092          | 2.08.1.09.2
 99350032828 | 218-092    | 2081092          | 2.08.1.09.2
 99350035302 | 111-194    | 1011194          | 1.01.1.19.4
 99350039017 | 218-033    | 2081033          | 2.08.1.03.3
 99350039017 | 218-033    | 2081033          | 2.08.1.03.3
 99350039017 | 218-033    | 2081033          | 2.08.1.03.3
 99350039023 | 212-141    | 2021141          | 2.02.1.14.1
 99350039023 | 212-141    | 2021141          | 2.02.1.14.1
 99350039023 | 212-141    | 2021141          | 2.02.1.14.1
 99350039023 | 212-141    | 2021141          | 2.02.1.14.1
