 ubicazione | translation
------------+----------
 121-111    | 1012111
 121-191    | 1012191
 121-011    | 1012011
 121-031    | 1012031
 121-051    | 1012051
 121-071    | 1012071
 122-104    | 1022104
 122-144    | 1022144
 123-024    | 1032024
 123-054    | 1032054
 123-094    | 1032094
 123-104    | 1032104
 123-114    | 1032114
 123-134    | 1032134
 123-144    | 1032144
 123-164    | 1032164
 124-024    | 1042024
 124-044    | 1042044
 124-054    | 1042054
 124-064    | 1042064
 124-074    | 1042074
 124-084    | 1042084
 124-104    | 1042104
 124-124    | 1042124
 124-134    | 1042134
 124-174    | 1042174
 122-093    | 1022093
 122-092    | 1022092
 122-133    | 1022133
 123-013    | 1032013
 123-023    | 1032023
 123-022    | 1032022
 123-033    | 1032033
 123-032    | 1032032
 123-043    | 1032043
 123-053    | 1032053
 123-052    | 1032052
 123-063    | 1032063
 123-103    | 1032103
 123-113    | 1032113
 123-123    | 1032123
 123-132    | 1032132
 123-142    | 1032142
 123-153    | 1032153
 124-012    | 1042012
 124-022    | 1042022
 124-033    | 1042033
 124-043    | 1042043
 124-042    | 1042042
 124-063    | 1042063
 124-072    | 1042072
 124-082    | 1042082
 124-102    | 1042102
 124-112    | 1042112
 124-123    | 1042123
 124-122    | 1042122
 124-143    | 1042143
 124-152    | 1042152
 124-173    | 1042173
 122-131    | 1022131
 123-061    | 1032061
 123-091    | 1032091
 123-111    | 1032111
 123-131    | 1032131
 123-141    | 1032141
 123-161    | 1032161
 124-011    | 1042011
 124-021    | 1042021
 124-041    | 1042041
 124-061    | 1042061
 124-171    | 1042171
 111-114    | 1011114
 111-124    | 1011124
 111-134    | 1011134
 111-144    | 1011144
 111-164    | 1011164
 111-174    | 1011174
 112-034    | 1021034
 112-044    | 1021044
 112-054    | 1021054
 112-064    | 1021064
 112-084    | 1021084
 112-094    | 1021094
 112-104    | 1021104
 112-114    | 1021114
 112-124    | 1021124
 113-064    | 1031064
 113-074    | 1031074
 113-094    | 1031094
 113-114    | 1031114
 113-124    | 1031124
 113-134    | 1031134
 113-144    | 1031144
 113-154    | 1031154
 113-164    | 1031164
 114-014    | 1041014
 114-024    | 1041024
 114-074    | 1041074
 114-084    | 1041084
 114-094    | 1041094
 114-104    | 1041104
 114-114    | 1041114
 114-134    | 1041134
 114-154    | 1041154
 114-164    | 1041164
 111-092    | 1011092
 111-123    | 1011123
 111-122    | 1011122
 111-132    | 1011132
 111-143    | 1011143
 111-153    | 1011153
 111-172    | 1011172
 111-182    | 1011182
 111-193    | 1011193
 112-023    | 1021023
 112-052    | 1021052
 112-063    | 1021063
 112-083    | 1021083
 112-093    | 1021093
 112-103    | 1021103
 112-102    | 1021102
 112-113    | 1021113
 113-013    | 1031013
 113-012    | 1031012
 113-023    | 1031023
 113-022    | 1031022
 113-033    | 1031033
 113-053    | 1031053
 113-063    | 1031063
 113-073    | 1031073
 113-072    | 1031072
 113-082    | 1031082
 113-093    | 1031093
 113-092    | 1031092
 113-113    | 1031113
 113-123    | 1031123
 113-122    | 1031122
 113-133    | 1031133
