      prcdpro       |                 prdescr                  | praltez | prlargh | prlungh | prflgpp 
--------------------+------------------------------------------+---------+---------+---------+---------
 81130373           | SEB HYDRE CONDITIONER 10ML               |       2 |      30 |      90 |       1
 81130398           | SEB MICROWEB FIBER 45 ML                 |       4 |     150 |     300 |       1
 81311357           | SP MEN STRENGTH ELX 6 X 2 ML             |      30 |      90 |     250 |       1
 81153949           | COLOR SAVE INFUSION 5 ML                 |      30 |      90 |     240 |       1
 81153916           | HYDRATE INFUSION 5 ML                    |      30 |      90 |     240 |       1
 81153925           | REPAIR INFUSION 5 ML                     |      30 |      90 |     240 |       1
 81311354           | SP MEN HYDRATE ELX 6 X 2 ML              |      30 |      90 |     250 |       1
 81127263           | SEB SHINE DEFINE 200ML                   |      45 |      45 |      45 |       1
 81130394           | SEB CRAFT CLAY 50ML                      |      60 |      67 |      67 |       1
 81392966           | SP Expo Banco Anticaduta 2012            |      70 |     205 |     315 |       1
 81130393           | SEB MATTE PUTTY 75ML                     |      70 |      70 |      70 |       1
 81237924           | WPS TAKE SHAPE 18 ml                     |      70 |      80 |     100 |       1
 81237671           | WPC PRO TRATT PRE-ONDULAZ 18ml           |      70 |      90 |     110 |       1
 81126770           | SEB LIGHT SHINE CONDITIONER 1L           |      85 |      85 |     265 |       1
 81254147           | Seb Color Multi. Shampoo 50ml .......... |      95 |      30 |      30 |       1
 81253647           | SP VOLUMIZE INFUSION 5ml BOM comp da 18p |     100 |     175 |     255 |       1
 81381503           | Seb Penetraitt Conditioner 50ml          |     100 |      40 |      40 |       1
 81381488           | Seb Penetraitt Shampoo 50ml              |     100 |      40 |      40 |       1
 81381422           | Seb Hydre Conditioner 50ml               |     100 |      40 |      40 |       1
 81339592           | WPS PEARL STYLER 2 pz comp.da:           |     100 |     152 |     186 |       1
 81311770           | SEB TRILLIANCE CONDITIONER 50ML          |     100 |      35 |      35 |       1
 81311758           | SEB TRILLIANCE SHAMPOO 50ML              |     100 |      35 |      35 |       1
 81253651           | SP COLOR SAVE INFUSION 5ml BOM comp da 1 |     100 |     175 |     255 |       1
 81253644           | SP HYDRATE INFUSION 5ml BOM comp da 18pz |     100 |     175 |     255 |       1
 81253645           | SP REPAIR INFUSION 5ml BOM comp da 18pz: |     100 |     175 |     255 |       1
 81253646           | SP SMOOTHEN INFUSION 5ml BOM comp da 18p |     100 |     175 |     255 |       1
 81153946           | BALANCE SCALP ENERGY SERUM 6 ML          |     105 |     115 |     178 |       1
 81205314           | KAD VITAL BOOSTER SERUM 6X10 ML          |     110 |      80 |     160 |       1
 90105005           | EXCLUSIV NEW NO GAS FORTE 50 ML.         |     115 |     110 |      35 |       1
